Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4EIM7QMhQLg8Q28cXqqrUs,"Vrijheid, Gelijkheid, Zusterschap","Smartlap Is Niet Dood","Sophie Straat",2023-03-03,190681,50,false,,1970-01-01T00:00:00Z,"nederpop,hollands","Sophie Straat",0.766,0.6,0,-9.413,1,0.0485,0.00638,0.0000175,0.274,0.674,121.004,4
spotify:track:1QrbZhFYlViXd60g130vw1,"Caramel","Even In Arcadia","Sleep Token",2025-05-09,290110,78,false,,1970-01-01T00:00:00Z,"progressive metal,metalcore","Sleep Token/RCA Records",0.631,0.775,5,-5.385,0,0.0331,0.00432,0.00000917,0.061,0.29,94.01,4
spotify:track:4Lojbtk7XNMdSKRHSFbdkm,"Look To Windward","Even In Arcadia","Sleep Token",2025-05-09,466463,71,false,,1970-01-01T00:00:00Z,"progressive metal,metalcore","Sleep Token/RCA Records",0.447,0.498,6,-9.125,0,0.0346,0.0279,0.000182,0.247,0.105,148.948,3
spotify:track:5NRpxJxtR6JkUhQS4F0um6,"Emergence","Emergence","Sleep Token",2025-03-13,386253,67,false,,1970-01-01T00:00:00Z,"progressive metal,metalcore","Sleep Token/RCA Records",0.517,0.584,4,-6.729,0,0.035,0.0225,0.0000757,0.0826,0.162,126.106,4
spotify:track:5ofoB8PFmocBXFBEWVb6Vz,"Animals","For Those That Wish To Exist","Architects",2021-02-26,244364,71,true,,1970-01-01T00:00:00Z,"metalcore,djent,metal,mathcore,post-hardcore,deathcore","Epitaph",0.532,0.759,1,-3.842,0,0.0319,0.000123,0.02,0.073,0.293,95.01,4
spotify:track:04yjYHGB3aoyS3q7D7LiKy,"Blackhole","The Sky, The Earth & All Between","Architects",2025-02-28,200800,67,true,,1970-01-01T00:00:00Z,"metalcore,djent,metal,mathcore,post-hardcore,deathcore","Epitaph",0.452,0.985,1,-2.846,1,0.203,0.0000183,0.00608,0.334,0.38,160.033,4
spotify:track:4hsDJPlKFiMP4jNHCNvDkf,"III","Euthanasia","Stray From The Path",2022-09-09,248546,41,true,,1970-01-01T00:00:00Z,"metalcore,hardcore,melodic hardcore,hardcore punk,mathcore","Epitaph",0.452,0.969,7,-2.247,1,0.335,0.000412,0.00000463,0.125,0.187,88.204,4
spotify:track:0sY5FpIGmuu9nOvhPkoG6V,"Kubrick Stare","Clockworked","Stray From The Path",2025-05-30,198453,45,true,,1970-01-01T00:00:00Z,"metalcore,hardcore,melodic hardcore,hardcore punk,mathcore","SHARPTONE",0.578,0.946,7,-1.942,1,0.239,0.0107,0,0.034,0.308,141.048,4
spotify:track:0M3adYbGtyRHACP86dey1H,"Throne","That's The Spirit","Bring Me The Horizon",2015-09-11,191520,77,false,,1970-01-01T00:00:00Z,"metalcore,emo,screamo,rock,post-hardcore","RCA Records Label",0.426,0.888,0,-3.72,0,0.0987,0.000455,0,0.306,0.387,144.111,4
spotify:track:1g5Jqwo02PuitYfv19B6Jn,"Black Hole","Darkbloom","We Came As Romans;Caleb Shomo",2022-10-14,179186,64,false,,1970-01-01T00:00:00Z,"metalcore,post-hardcore,screamo,metal","SHARPTONE",0.49,0.956,5,-4.249,0,0.0675,0.0000232,0,0.455,0.412,110.042,4
